nome_pais,ano,energia_total_mwh,area_florestal_km2,mwh_por_km2_florestal
Afghanistan,2015,1180000,12084,97.65
Albania,2015,5890000,7892,746.34
Algeria,2015,68840000,19560,3519.43
American Samoa,2015,160000,173,925.93
Angola,2015,9780000,693827,14.10
Antigua and Barbuda,2015,350000,85,4142.01
Argentina,2015,145420000,290970,499.78
Armenia,2015,7550000,3295,2291.21
Aruba,2015,970000,4,230952.38
Australia,2015,253990000,1330945,190.83
Austria,2015,61780000,38812,1591.78
Azerbaijan,2015,24570000,10779,2279.46
Bahamas (the),2015,2000000,5099,392.26
Bahrain,2015,28490000,6,4748333.33
Bangladesh,2015,59290000,18834,3148.03
Barbados,2015,1040000,63,16507.94
Belarus,2015,34090000,86335,394.86
Belgium,2015,68430000,6893,9927.46
Belize,2015,360000,13328,27.01
Benin,2015,320000,33852,9.45
Bermuda,2015,670000,10,67000.00
Bhutan,2015,7730000,27152,284.70
Bolivia,2015,9000000,520272,17.30
Bosnia Herzegovina,2015,16430000,21605,760.47
Botswana,2015,2970000,158462,18.74
Brazil,2015,581220000,5038848,115.35
Brunei Darussalam,2015,4200000,3800,1105.26
Bulgaria,2015,48710000,38330,1270.81
Burkina Faso,2015,1010000,64664,15.62
Burundi,2015,180000,2796,64.37
Cabo Verde,2015,430000,442,972.41
Cambodia,2015,4580000,88468,51.77
Cameroon,2015,7960000,206205,38.60
Canada,2015,661080000,3471157,190.45
Cayman Islands (the),2015,640000,127,5031.45
Central African Republic (the),2015,170000,224530,0.76
Chad,2015,300000,48900,6.13
Chile,2015,74910000,175961,425.72
China,2015,5814580000,2102943,2764.97
Colombia,2015,77970000,601347,129.66
Comoros (the),2015,50000,351,142.41
Congo (the),2015,2760000,220150,12.54
Congo (the Democratic Republic of the),2015,9010000,1316621,6.84
Costa Rica,2015,10770000,29530,364.71
Cote d'Ivoire,2015,8700000,34012,255.80
Croatia,2015,11240000,19220,584.81
Cuba,2015,20390000,31840,640.39
Cyprus,2015,4540000,1727,2628.68
Czechia,2015,82490000,26684,3091.38
Denmark,2015,28780000,6247,4607.16
Djibouti,2015,180000,56,3214.29
Dominica,2015,150000,479,313.35
Dominican Republic (the),2015,18000000,21037,855.66
Ecuador,2015,25830000,128192,201.49
Egypt,2015,181830000,484,375526.64
El Salvador,2015,6080000,6064,1002.67
Equatorial Guinea,2015,1300000,24902,52.20
Eritrea,2015,260000,10711,24.28
Estonia,2015,10150000,24210,419.25
Eswatini,2015,380000,4915,77.31
Ethiopia,2015,10390000,174335,59.60
Faroe Islands (the),2015,320000,1,400000.00
Fiji,2015,930000,11066,84.04
Finland,2015,68610000,224090,306.17
France,2015,574140000,168360,3410.19
French Polynesia,2015,680000,1495,454.97
Gabon,2015,2120000,235900,8.99
Gambia (the),2015,280000,2713,103.19
Georgia,2015,10750000,28224,380.88
Germany,2015,639170000,114190,5597.43
Ghana,2015,11640000,78804,147.71
Gibraltar,2015,220000,0,
Greece,2015,51050000,39018,1308.37
Greenland,2015,510000,2,231818.18
Grenada,2015,210000,177,1186.44
Guam,2015,1710000,250,6840.00
Guatemala,2015,11170000,35858,311.51
Guinea,2015,1140000,63890,17.84
Guinea-Bissau,2015,60000,20222,2.97
Guyana,2015,1000000,184614,5.42
Haiti,2015,1030000,3629,283.86
Honduras,2015,9370000,64638,144.96
Hungary,2015,30330000,20608,1471.74
Iceland,2015,18550000,482,38517.44
India,2015,1322100000,708280,1866.63
Indonesia,2015,243280000,950279,256.01
Iran (Islamic Republic of),2015,280240000,106920,2621.03
Iraq,2015,70640000,8250,8562.42
Ireland,2015,28040000,7547,3715.53
Israel,2015,64230000,1650,38927.27
Italy,2015,279700000,92971,3008.47
Jamaica,2015,4280000,5775,741.18
Japan,2015,1030120000,249440,4129.73
Jordan,2015,19060000,975,19548.72
Kazakhstan,2015,91640000,33085,2769.87
Kenya,2015,9810000,35224,278.50
Kiribati,2015,30000,12,2542.37
Korea (the Democratic People's Republic of),2015,18930000,61362,308.50
Kuwait,2015,68300000,63,1092800.00
Kyrgyzstan,2015,12920000,12518,1032.11
Lao People's Democratic Republic (the),2015,16160000,167680,96.37
Latvia,2015,5540000,33914,163.35
Lebanon,2015,18640000,1403,13282.98
Lesotho,2015,530000,345,1535.34
Liberia,2015,310000,77687,3.99
Libya,2015,37510000,2170,17285.71
Lithuania,2015,4230000,21870,193.42
Luxembourg,2015,1340000,887,1510.71
Madagascar,2015,1790000,124959,14.32
Malawi,2015,2170000,24517,88.51
Malaysia,2015,150110000,194642,771.21
Maldives,2015,620000,8,75609.76
Mali,2015,2510000,132960,18.88
Malta,2015,1300000,4,371428.57
Mauritania,2015,1160000,3400,341.14
Mauritius,2015,2990000,383,7806.79
Mexico,2015,310360000,663309,467.90
Moldova,2015,6040000,3864,1563.15
Mongolia,2015,5510000,141783,38.86
Montenegro,2015,3000000,8270,362.76
Morocco,2015,29910000,56847,526.15
Mozambique,2015,18380000,379400,48.44
Myanmar,2015,16200000,299924,54.01
Namibia,2015,1580000,69940,22.59
Nauru,2015,30000,0,
Nepal,2015,3460000,59620,58.03
Netherlands,2015,108990000,3648,29874.19
New Caledonia,2015,2900000,8385,345.85
New Zealand,2015,43570000,98466,442.49
Nicaragua,2015,4590000,39075,117.47
Nigeria,2015,33170000,224435,147.79
Niger (the),2015,540000,11418,47.29
North Macedonia,2015,5650000,9944,568.18
Norway,2015,143000000,121410,1177.83
Oman,2015,32750000,30,1091666.67
Pakistan,2015,112790000,39326,2868.08
"Palestine, State of",2015,520000,101,5128.21
Panama,2015,10300000,42709,241.17
Papua New Guinea,2015,4530000,360244,12.57
Paraguay,2015,55890000,174989,319.39
Peru,2015,48270000,731945,65.95
Philippines (the),2015,82400000,70142,1174.77
Poland,2015,164300000,94200,1744.16
Portugal,2015,51140000,33120,1544.08
Puerto Rico,2015,20900000,4939,4231.80
Qatar,2015,41630000,0,
Romania,2015,65660000,69010,951.46
Russian Federation (the),2015,1067550000,8149305,131.00
Rwanda,2015,510000,2700,188.89
Saint Kitts and Nevis,2015,220000,110,2000.00
Saint Lucia,2015,380000,208,1829.56
Saint Vincent and the Grenadines,2015,150000,285,525.58
Samoa,2015,130000,1641,79.23
Sao Tome and Principe,2015,100000,550,181.82
Saudi Arabia,2015,350640000,9770,35889.46
Senegal,2015,4440000,82682,53.70
Serbia,2015,37590000,27195,1382.22
Seychelles,2015,460000,337,1364.99
Sierra Leone,2015,160000,26335,6.08
Singapore,2015,50280000,165,305256.38
Slovakia,2015,26620000,19218,1385.20
Slovenia,2015,14800000,12480,1185.90
Solomon Islands,2015,90000,25266,3.56
Somalia,2015,350000,63638,5.50
South Africa,2015,250400000,172321,1453.10
South Korea,2015,547800000,63370,8644.47
South Sudan,2015,580000,71570,8.10
Spain,2015,277170000,185512,1494.08
Sri Lanka,2015,13200000,21288,620.06
Sudan (the),2015,13090000,192099,68.14
Suriname,2015,1860000,152517,12.20
Sweden,2015,162000000,279800,578.98
Switzerland,2015,66070000,12519,5277.54
Syrian Arab Republic (the),2015,18010000,5221,3449.66
Tajikistan,2015,17160000,4218,4068.28
"Tanzania, the United Republic of",2015,6530000,480900,13.58
Thailand,2015,177830000,200610,886.45
Timor-Leste,2015,350000,9281,37.71
Togo,2015,440000,12241,35.95
Tonga,2015,50000,90,558.66
Trinidad and Tobago,2015,9570000,2303,4155.63
Tunisia,2015,19480000,6951,2802.56
Turkey,2015,261770000,216303,1210.20
Turkmenistan,2015,22530000,41270,545.92
Turks and Caicos Islands (the),2015,230000,105,2186.31
Uganda,2015,3550000,25442,139.54
Ukraine,2015,163680000,96570,1694.94
United Arab Emirates,2015,127380000,3173,40144.97
United Kingdom,2015,338870000,31550,10740.73
United States of America,2015,4083990000,3100950,1317.01
Uruguay,2015,13740000,19200,715.63
Uzbekistan,2015,57410000,35494,1617.46
Vanuatu,2015,60000,4423,13.57
Venezuela (Bolivarian Republic of),2015,127520000,466830,273.16
Viet Nam,2015,161930000,140619,1151.55
Virgin Islands (British),2015,210000,36,5801.10
Virgin Islands (U.S.),2015,780000,192,4070.98
Yemen,2015,5760000,5490,1049.18
Zambia,2015,13510000,457551,29.53
Zimbabwe,2015,9590000,176749,54.26
