ano,pais,fonte,producao_energia_porcentagem,emissao_co2_per_capita
2010,Qatar,Gas,100.0,4466.0855
2010,Trinidad and Tobago,Gas,99.76,3113.1566
2010,Trinidad and Tobago,Other Fossil,0.24,3113.1566
2010,Kuwait,Other Fossil,65.37,2938.7485
2010,Kuwait,Gas,34.63,2938.7485
2010,United Arab Emirates,Gas,99.98,2503.0241
2010,United Arab Emirates,Solar,0.02,2503.0241
2010,Bahrain,Gas,100.0,2347.1136
2010,Luxembourg,Gas,90.12,2211.9013
2010,Luxembourg,Hydro,3.4,2211.9013
2010,Luxembourg,Bioenergy,2.47,2211.9013
2010,Luxembourg,Wind,1.85,2211.9013
2010,Luxembourg,Other Fossil,1.54,2211.9013
2010,Luxembourg,Solar,0.62,2211.9013
2010,Saudi Arabia,Other Fossil,55.23,2030.4521
2010,Saudi Arabia,Gas,44.77,2030.4521
2010,Australia,Coal,70.14,1884.8848
2010,Australia,Gas,18.64,1884.8848
2010,Australia,Hydro,5.48,1884.8848
2010,Australia,Other Fossil,2.39,1884.8848
2010,Australia,Wind,1.99,1884.8848
2010,Australia,Bioenergy,0.97,1884.8848
2010,Australia,Solar,0.39,1884.8848
2010,Brunei Darussalam,Gas,98.94,1880.8815
2010,Brunei Darussalam,Other Fossil,1.06,1880.8815
2010,Oman,Gas,97.78,1867.4128
2010,Oman,Other Fossil,2.22,1867.4128
2010,United States of America,Coal,44.9,1785.0903
2010,United States of America,Gas,24.01,1785.0903
2010,United States of America,Nuclear,19.62,1785.0903
2010,United States of America,Hydro,6.19,1785.0903
2010,United States of America,Wind,2.3,1785.0903
2010,United States of America,Bioenergy,1.36,1785.0903
2010,United States of America,Other Fossil,1.15,1785.0903
2010,United States of America,Other Renewables,0.43,1785.0903
2010,United States of America,Solar,0.03,1785.0903
2010,Canada,Hydro,57.89,1651.4877
2010,Canada,Nuclear,14.83,1651.4877
2010,Canada,Coal,14.24,1651.4877
2010,Canada,Gas,8.69,1651.4877
2010,Canada,Bioenergy,1.7,1651.4877
2010,Canada,Wind,1.44,1651.4877
2010,Canada,Other Fossil,1.17,1651.4877
2010,Canada,Solar,0.04,1651.4877
2010,Estonia,Other Fossil,89.59,1619.1066
2010,Estonia,Bioenergy,5.71,1619.1066
2010,Estonia,Gas,2.31,1619.1066
2010,Estonia,Wind,2.16,1619.1066
2010,Estonia,Hydro,0.23,1619.1066
2010,Kazakhstan,Coal,80.65,1484.1992
2010,Kazakhstan,Hydro,9.7,1484.1992
2010,Kazakhstan,Gas,8.89,1484.1992
2010,Kazakhstan,Other Fossil,0.75,1484.1992
2010,Finland,Nuclear,28.27,1227.6371
2010,Finland,Coal,18.03,1227.6371
2010,Finland,Hydro,16.02,1227.6371
2010,Finland,Gas,13.96,1227.6371
2010,Finland,Bioenergy,13.6,1227.6371
2010,Finland,Other Fossil,9.75,1227.6371
2010,Finland,Wind,0.36,1227.6371
2010,Russian Federation (the),Gas,50.15,1222.8594
2010,Russian Federation (the),Nuclear,16.42,1222.8594
2010,Russian Federation (the),Hydro,16.04,1222.8594
2010,Russian Federation (the),Coal,16.0,1222.8594
2010,Russian Federation (the),Other Fossil,1.34,1222.8594
2010,Russian Federation (the),Bioenergy,0.05,1222.8594
2010,South Korea,Coal,44.35,1207.0193
2010,South Korea,Nuclear,30.02,1207.0193
2010,South Korea,Gas,21.0,1207.0193
2010,South Korea,Other Fossil,3.48,1207.0193
2010,South Korea,Hydro,0.74,1207.0193
2010,South Korea,Wind,0.17,1207.0193
2010,South Korea,Solar,0.16,1207.0193
2010,South Korea,Bioenergy,0.08,1207.0193
2010,Iceland,Hydro,74.73,1175.0686
2010,Iceland,Other Renewables,25.27,1175.0686
2010,Czechia,Coal,55.03,1155.0923
2010,Czechia,Nuclear,32.86,1155.0923
2010,Czechia,Other Fossil,3.56,1155.0923
2010,Czechia,Hydro,3.27,1155.0923
2010,Czechia,Bioenergy,2.53,1155.0923
2010,Czechia,Gas,1.62,1155.0923
2010,Czechia,Solar,0.73,1155.0923
2010,Czechia,Wind,0.4,1155.0923
2010,Greenland,Hydro,70.73,1143.4848
2010,Greenland,Other Fossil,29.27,1143.4848
2010,Netherlands,Gas,63.78,1120.488
2010,Netherlands,Coal,19.13,1120.488
2010,Netherlands,Bioenergy,5.96,1120.488
2010,Netherlands,Other Fossil,4.25,1120.488
2010,Netherlands,Wind,3.38,1120.488
2010,Netherlands,Nuclear,3.36,1120.488
2010,Netherlands,Hydro,0.08,1120.488
2010,Netherlands,Solar,0.05,1120.488
2010,Turkmenistan,Gas,100.0,1107.9881
2010,Belgium,Nuclear,51.53,1055.2622
2010,Belgium,Gas,33.15,1055.2622
2010,Belgium,Bioenergy,4.71,1055.2622
2010,Belgium,Coal,4.51,1055.2622
2010,Belgium,Other Fossil,3.75,1055.2622
2010,Belgium,Wind,1.39,1055.2622
2010,Belgium,Solar,0.62,1055.2622
2010,Belgium,Hydro,0.33,1055.2622
2010,Seychelles,Other Fossil,100.0,1025.7324
2010,Germany,Coal,42.12,997.0763
2010,Germany,Nuclear,22.52,997.0763
2010,Germany,Gas,14.22,997.0763
2010,Germany,Wind,6.18,997.0763
2010,Germany,Bioenergy,5.43,997.0763
2010,Germany,Other Fossil,4.26,997.0763
2010,Germany,Hydro,3.36,997.0763
2010,Germany,Solar,1.92,997.0763
2010,Germany,Other Renewables,0.0,997.0763
2010,Norway,Hydro,94.8,981.4282
2010,Norway,Gas,3.9,981.4282
2010,Norway,Wind,0.71,981.4282
2010,Norway,Bioenergy,0.28,981.4282
2010,Norway,Other Fossil,0.28,981.4282
2010,Norway,Coal,0.03,981.4282
2010,Libya,Other Fossil,52.86,979.8273
2010,Libya,Gas,47.11,979.8273
2010,Libya,Solar,0.03,979.8273
2010,Singapore,Gas,77.2,963.0349
2010,Singapore,Other Fossil,20.19,963.0349
2010,Singapore,Bioenergy,2.6,963.0349
2010,Japan,Gas,28.21,952.9581
2010,Japan,Coal,27.41,952.9581
2010,Japan,Nuclear,25.29,952.9581
2010,Japan,Other Fossil,8.87,952.9581
2010,Japan,Hydro,7.66,952.9581
2010,Japan,Bioenergy,1.89,952.9581
2010,Japan,Wind,0.34,952.9581
2010,Japan,Solar,0.34,952.9581
2010,Israel,Coal,58.48,944.8777
2010,Israel,Gas,37.49,944.8777
2010,Israel,Other Fossil,3.74,944.8777
2010,Israel,Solar,0.12,944.8777
2010,Israel,Bioenergy,0.1,944.8777
2010,Israel,Hydro,0.05,944.8777
2010,Israel,Wind,0.02,944.8777
