ano,pais,mwh_por_km2_florestal
2015,Afghanistan,97.64655258018603
2015,Albania,746.3372139067078
2015,Algeria,3519.427402862986
2015,American Samoa,925.9259259259259
2015,Angola,14.095734829537456
2015,Antigua and Barbuda,4142.011834319527
2015,Argentina,499.7766092724337
2015,Armenia,2291.211459092013
2015,Aruba,230952.38095238098
2015,Australia,190.83433199718996
2015,Austria,1591.7798407189548
2015,Azerbaijan,2279.4597207313936
2015,Bahamas (the),392.2645432079394
2015,Bahrain,4748333.333333334
2015,Bangladesh,3148.030158224488
2015,Barbados,16507.93650793651
2015,Belarus,394.8572421381827
2015,Belgium,9927.46264326128
2015,Belize,27.010196349121795
2015,Benin,9.45305230196594
2015,Bermuda,67000.0
2015,Bhutan,284.6956739516349
2015,Bolivia,17.298637136483556
2015,Bosnia Herzegovina,760.4721129368202
2015,Botswana,18.742663856318863
2015,Brazil,115.34779378143575
2015,Brunei Darussalam,1105.2631578947369
2015,Bulgaria,1270.8061570571356
2015,Burkina Faso,15.619200791785229
2015,Burundi,64.36847375196682
2015,Cabo Verde,972.4106739032114
2015,Cambodia,51.77001453629666
2015,Cameroon,38.602399168205594
2015,Canada,190.44946136261018
2015,Cayman Islands (the),5031.446540880503
2015,Central African Republic (the),0.7571371308956487
2015,Chad,6.134969325153374
2015,Chile,425.71981941432415
2015,China,2764.973364702078
2015,Colombia,129.6590019798898
2015,Comoros (the),142.40956992309884
2015,Congo (the Democratic Republic of the),6.843274284205663
2015,Congo (the),12.536906654553713
2015,Costa Rica,364.71014517292406
2015,Cote d'Ivoire,255.79583376210988
2015,Croatia,584.8074921956295
2015,Cuba,640.3894472361809
2015,Cyprus,2628.6839210236817
2015,Czechia,3091.3771974861243
2015,Denmark,4607.158865339054
2015,Djibouti,3214.285714285714
2015,Dominica,313.3486526007938
2015,Dominican Republic (the),855.6556461388539
2015,Ecuador,201.49494741473325
2015,Egypt,375526.64188351925
2015,El Salvador,1002.6715920709785
2015,Equatorial Guinea,52.20422292006328
2015,Estonia,419.24651281903004
2015,Eswatini,77.31434384537131
2015,Ethiopia,59.59790059368457
2015,Faroe Islands (the),399999.99999999994
2015,Fiji,84.03968842059605
2015,Finland,306.17162747110535
2015,France,3410.192444761226
2015,French Polynesia,454.971229760471
2015,Gabon,8.986858838490887
2015,Gambia (the),103.19156777474755
2015,Georgia,380.88151927437644
2015,Germany,5597.42534372537
2015,Ghana,147.70748841435253
2015,Greece,1308.3694896948923
2015,Greenland,231818.18181818182
2015,Grenada,1186.4406779661017
2015,Guam,6840.0
2015,Guatemala,311.50649785264096
2015,Guinea,17.843167944905307
2015,Guinea-Bissau,2.9670508997581853
2015,Guyana,5.41671902828394
2015,Haiti,283.86385558770843
2015,Honduras,144.9604955575874
2015,Hungary,1471.7442571403617
2015,Iceland,38517.441860465115
2015,India,1866.6346642570734
2015,Indonesia,256.00902471800384
2015,Iran (Islamic Republic of),2621.029968256581
2015,Iraq,8562.424242424242
2015,Ireland,3715.531291822916
2015,Israel,38927.27272727273
2015,Italy,3008.471477065917
2015,Jamaica,741.1768780521595
2015,Japan,4129.73059653624
2015,Jordan,19548.71794871795
2015,Kazakhstan,2769.8719420858583
2015,Kenya,278.50250254797146
2015,Kiribati,2542.372881355932
2015,Kuwait,1092800.0
2015,Kyrgyzstan,1032.1055112197537
2015,Lao People's Democratic Republic (the),96.37404580152672
2015,Latvia,163.3524402613639
2015,Lebanon,13282.975842656597
2015,Lesotho,1535.3418308227117
2015,Liberia,3.9903510736618806
2015,Libya,17285.714285714286
2015,Lithuania,193.41563786008234
2015,Luxembourg,1510.7102593010147
2015,Madagascar,14.324709964636373
2015,Malawi,88.51001346004813
2015,Malaysia,771.2099431675143
2015,Maldives,75609.75609756098
2015,Mali,18.877858002406743
2015,Malta,371428.5714285714
2015,Mauritania,341.136336901541
2015,Mauritius,7806.788511749346
2015,Mexico,467.8964904898787
2015,Moldova,1563.1469979296066
2015,Mongolia,38.86212269004883
2015,Montenegro,362.75695284159616
2015,Morocco,526.1500627123027
2015,Mozambique,48.44491302055877
2015,Myanmar,54.013611430080374
2015,Namibia,22.590953609905707
2015,Nepal,58.033924686725825
2015,Netherlands,29874.187977962338
2015,New Caledonia,345.8474454992129
2015,New Zealand,442.48731289245734
2015,Nicaragua,117.46550890204297
2015,Niger (the),47.29374671571204
2015,Nigeria,147.79367699707487
2015,North Macedonia,568.1818181818182
2015,Norway,1177.827197100733
2015,Oman,1091666.6666666665
2015,Pakistan,2868.0770991201753
2015,"Palestine, State of",5128.205128205128
2015,Panama,241.16640247628723
2015,Papua New Guinea,12.574803110853063
2015,Paraguay,319.3907745269142
2015,Peru,65.94755099868802
2015,Philippines (the),1174.7681472452114
2015,Poland,1744.1613588110406
2015,Portugal,1544.0821256038648
2015,Puerto Rico,4231.797197699847
2015,Romania,951.4618256010757
2015,Russian Federation (the),130.99890756322938
2015,Rwanda,188.88888888888889
2015,Saint Kitts and Nevis,2000.0
2015,Saint Lucia,1829.5618680789603
2015,Saint Vincent and the Grenadines,525.5781359495445
2015,Samoa,79.23447309075394
2015,Sao Tome and Principe,181.8181818181818
2015,Saudi Arabia,35889.45752302968
2015,Senegal,53.69997677838841
2015,Serbia,1382.224134317327
2015,Seychelles,1364.9851632047478
2015,Sierra Leone,6.075495627541741
2015,Singapore,305256.383792513
2015,Slovakia,1385.1957850917133
2015,Slovenia,1185.897435897436
2015,Solomon Islands,3.5620710672756486
2015,Somalia,5.4999017874680804
2015,South Africa,1453.102902781961
2015,South Korea,8644.468991636419
2015,South Sudan,8.10395417074193
2015,Spain,1494.0828561848898
2015,Sri Lanka,620.0618182843077
2015,Sudan (the),68.14184122482487
2015,Suriname,12.195385816766294
2015,Sweden,578.9849892780558
2015,Switzerland,5277.5359251064365
2015,Syrian Arab Republic (the),3449.662886913882
2015,Tajikistan,4068.278805120911
2015,"Tanzania, the United Republic of",13.578706591807027
2015,Thailand,886.4463386670654
2015,Timor-Leste,37.711453507165174
2015,Togo,35.94565670263955
2015,Tonga,558.659217877095
2015,Trinidad and Tobago,4155.6298580051225
2015,Tunisia,2802.5551015710416
2015,Turkey,1210.2005057719957
2015,Turkmenistan,545.9171310879574
2015,Turks and Caicos Islands (the),2186.3117870722435
2015,Uganda,139.53524935538644
2015,Ukraine,1694.9363156259708
2015,United Arab Emirates,40144.97321147179
2015,United Kingdom,10740.729001584787
2015,United States of America,1317.0125284187104
2015,Uruguay,715.6249999999999
2015,Uzbekistan,1617.4564715163128
2015,Vanuatu,13.565453312231519
2015,Viet Nam,1151.554630752973
2015,Virgin Islands (U.S.),4070.9812108559504
2015,Yemen,1049.1803278688524
2015,Zambia,29.526763136786936
2015,Zimbabwe,54.25764062431931
