ano,sigla,porcentagem_renovavel
2000,ASEAN,19.35
2000,EU,15.52
2000,G20,16.19
2000,G7,13.54
2000,OECD,16.40
2001,ASEAN,19.07
2001,EU,16.17
2001,G20,15.53
2001,G7,12.51
2001,OECD,15.38
2002,ASEAN,17.66
2002,EU,14.33
2002,G20,15.67
2002,G7,13.09
2002,OECD,15.53
2003,ASEAN,16.67
2003,EU,14.19
2003,G20,15.27
2003,G7,13.16
2003,OECD,15.33
2004,ASEAN,15.70
2004,EU,15.35
2004,G20,15.90
2004,G7,13.21
2004,OECD,15.64
2005,ASEAN,15.15
2005,EU,15.37
2005,G20,15.83
2005,G7,13.17
2005,OECD,15.75
2006,ASEAN,15.77
2006,EU,15.93
2006,G20,16.16
2006,G7,13.76
2006,OECD,16.15
2007,ASEAN,15.69
2007,EU,16.83
2007,G20,15.87
2007,G7,13.38
2007,OECD,15.92
2008,ASEAN,16.50
2008,EU,18.27
2008,G20,16.98
2008,G7,14.25
2008,OECD,16.88
2009,ASEAN,16.70
2009,EU,20.33
2009,G20,17.56
2009,G7,15.52
2009,OECD,17.95
2010,ASEAN,16.49
2010,EU,22.16
2010,G20,17.79
2010,G7,15.48
2010,OECD,18.30
2011,ASEAN,18.79
2011,EU,22.21
2011,G20,18.26
2011,G7,17.32
2011,OECD,19.67
2012,ASEAN,19.62
2012,EU,25.10
2012,G20,19.19
2012,G7,17.94
2012,OECD,20.65
2013,ASEAN,20.35
2013,EU,27.98
2013,G20,19.90
2013,G7,19.26
2013,OECD,21.84
2014,ASEAN,19.96
2014,EU,29.64
2014,G20,20.68
2014,G7,20.09
2014,OECD,22.64
2015,ASEAN,18.37
2015,EU,29.82
2015,G20,21.64
2015,G7,21.10
2015,OECD,23.68
2016,ASEAN,20.09
2016,EU,30.13
2016,G20,22.56
2016,G7,22.07
2016,OECD,24.47
2017,ASEAN,23.43
2017,EU,29.92
2017,G20,23.44
2017,G7,23.88
2017,OECD,25.62
2018,ASEAN,23.45
2018,EU,32.35
2018,G20,24.11
2018,G7,24.48
2018,OECD,26.40
2019,ASEAN,20.97
2019,EU,34.05
2019,G20,25.41
2019,G7,25.59
2019,OECD,27.73
2020,ASEAN,23.22
2020,EU,38.49
2020,G20,27.26
2020,G7,28.12
2020,OECD,30.59
2021,ASEAN,25.82
2021,EU,37.46
2021,G20,27.18
2021,G7,27.76
2021,OECD,30.61
2022,ASEAN,28.08
2022,EU,38.88
2022,G20,28.77
2022,G7,29.17
2022,OECD,31.88
2023,ASEAN,26.16
2023,EU,44.87
2023,G20,29.35
2023,G7,30.33
2023,OECD,33.59
2024,EU,47.47
2024,G20,34.23
2024,G7,44.10
2024,OECD,50.49
