pais,ano,tipo_energia,producao_energia_porcentagem,emissao_co2_per_capita
Qatar,2010,Gas,100.00,4466.0855
Trinidad and Tobago,2010,Gas,99.76,3113.1566
Trinidad and Tobago,2010,Other Fossil,0.24,3113.1566
Kuwait,2010,Other Fossil,65.37,2938.7485
Kuwait,2010,Gas,34.63,2938.7485
United Arab Emirates,2010,Gas,99.98,2503.0241
United Arab Emirates,2010,Solar,0.02,2503.0241
Bahrain,2010,Gas,100.00,2347.1136
Luxembourg,2010,Gas,90.12,2211.9013
Luxembourg,2010,Hydro,3.40,2211.9013
Luxembourg,2010,Bioenergy,2.47,2211.9013
Luxembourg,2010,Wind,1.85,2211.9013
Luxembourg,2010,Other Fossil,1.54,2211.9013
Luxembourg,2010,Solar,0.62,2211.9013
Saudi Arabia,2010,Other Fossil,55.23,2030.4521
Saudi Arabia,2010,Gas,44.77,2030.4521
Australia,2010,Coal,70.14,1884.8848
Australia,2010,Gas,18.64,1884.8848
Australia,2010,Hydro,5.48,1884.8848
Australia,2010,Other Fossil,2.39,1884.8848
Australia,2010,Wind,1.99,1884.8848
Australia,2010,Bioenergy,0.97,1884.8848
Australia,2010,Solar,0.39,1884.8848
Brunei Darussalam,2010,Gas,98.94,1880.8815
Brunei Darussalam,2010,Other Fossil,1.06,1880.8815
Oman,2010,Gas,97.78,1867.4128
Oman,2010,Other Fossil,2.22,1867.4128
United States of America,2010,Coal,44.90,1785.0903
United States of America,2010,Gas,24.01,1785.0903
United States of America,2010,Nuclear,19.62,1785.0903
United States of America,2010,Hydro,6.19,1785.0903
United States of America,2010,Wind,2.30,1785.0903
United States of America,2010,Bioenergy,1.36,1785.0903
United States of America,2010,Other Fossil,1.15,1785.0903
United States of America,2010,Other Renewables,0.43,1785.0903
United States of America,2010,Solar,0.03,1785.0903
Canada,2010,Hydro,57.89,1651.4877
Canada,2010,Nuclear,14.83,1651.4877
Canada,2010,Coal,14.24,1651.4877
Canada,2010,Gas,8.69,1651.4877
Canada,2010,Bioenergy,1.70,1651.4877
Canada,2010,Wind,1.44,1651.4877
Canada,2010,Other Fossil,1.17,1651.4877
Canada,2010,Solar,0.04,1651.4877
Estonia,2010,Other Fossil,89.59,1619.1066
Estonia,2010,Bioenergy,5.71,1619.1066
Estonia,2010,Gas,2.31,1619.1066
Estonia,2010,Wind,2.16,1619.1066
Estonia,2010,Hydro,0.23,1619.1066
Gibraltar,2010,Other Fossil,100.00,1520.4173
Kazakhstan,2010,Coal,80.65,1484.1992
Kazakhstan,2010,Hydro,9.70,1484.1992
